date,value
2018-01-01,3848
2018-01-02,3548
2018-01-03,3487
2018-01-04,3431
2018-01-05,3453
2018-01-06,3419
2018-01-07,3402
2018-01-08,3444
2018-01-09,3256
2018-01-10,3251
2018-01-11,3457
2018-01-12,3437
2018-01-13,3437
2018-01-14,3411
2018-01-15,3525
2018-01-16,3437
2018-01-17,3310
2018-01-18,3464
2018-01-19,3486
2018-01-20,3658
2018-01-21,3595
2018-01-22,3510
2018-01-23,3516
2018-01-24,3410
2018-01-25,3401
2018-01-26,3296
2018-01-27,3501
2018-01-28,3452
2018-01-29,3461
2018-01-30,3266
2018-01-31,3269
2018-02-01,3435
2018-02-02,3355
2018-02-03,3427
2018-02-04,3368
2018-02-05,3424
2018-02-06,3384
2018-02-07,3345
2018-02-08,3379
2018-02-09,3319
2018-02-10,3672
2018-02-11,3458
2018-02-12,3453
2018-02-13,3489
2018-02-14,3256
2018-02-15,3258
2018-02-16,3400
2018-02-17,3377
2018-02-18,3391
2018-02-19,3381
2018-02-20,3352
2018-02-21,3247
2018-02-22,3275
2018-02-23,3329
2018-02-24,3509
2018-02-25,3513
2018-02-26,3479
2018-02-27,3303
2018-02-28,3416
2018-03-01,3497
2018-03-02,3470
2018-03-03,3603
2018-03-04,3568
2018-03-05,3496
2018-03-06,3602
2018-03-07,3473
2018-03-08,3411
2018-03-09,3393
2018-03-10,3711
2018-03-11,3554
2018-03-12,3690
2018-03-13,3543
2018-03-14,3571
2018-03-15,3515
2018-03-16,3601
2018-03-17,3604
2018-03-18,3772
2018-03-19,3663
2018-03-20,3535
2018-03-21,3502
2018-03-22,3385
2018-03-23,3437
2018-03-24,3641
2018-03-25,3631
2018-03-26,3340
2018-03-27,3423
2018-03-28,3426
2018-03-29,3305
2018-03-30,3519
2018-03-31,3509
2018-04-01,3599
2018-04-02,3535
2018-04-03,3429
2018-04-04,3622
2018-04-05,3488
2018-04-06,3509
2018-04-07,3612
2018-04-08,3572
2018-04-09,3693
2018-04-10,3582
2018-04-11,3421
2018-04-12,3524
2018-04-13,3580
2018-04-14,3675
2018-04-15,3650
2018-04-16,3508
2018-04-17,3449
2018-04-18,3520
2018-04-19,3542
2018-04-20,3570
2018-04-21,3705
2018-04-22,3741
2018-04-23,3636
2018-04-24,3631
2018-04-25,3687
2018-04-26,3586
2018-04-27,3624
2018-04-28,3809
2018-04-29,3727
2018-04-30,3623
2018-05-01,3564
2018-05-02,3596
2018-05-03,3529
2018-05-04,3681
