video_id,video_titulo,comentario_id,comentario,comentario_data,canal_id,canal_titulo,canal_pais,texto_limpo,idioma,associa_brasil,menciona_prisao,menciona_intervencao
cSCOHvNsYrA,TRUMP DIZ QUE IRÁ ADMINISTRAR VENEZUELA APÓS CAPTURA DE MADURO | AGORA CNN,UgyLhBwi9_JlQkxGmFN4AaABAg,"EM TODA INVASAO TEM MORTE.
NADA DEMAIS !!",2026-01-05T15:47:03Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,em toda invasao tem morte nada demais,pt,False,False,False
cSCOHvNsYrA,TRUMP DIZ QUE IRÁ ADMINISTRAR VENEZUELA APÓS CAPTURA DE MADURO | AGORA CNN,UgyUQMv3_IEV9OIv6Sx4AaABAg,"EXECUÇÃO PARA MORAES E TAMBÉM PARA A MULHER DELE.
DUAS PESTES
DOIS MALDITOS.
DOIS GENOCIDAS.",2026-01-05T15:46:33Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,execucao para moraes e tambem para a mulher dele duas pestes dois malditos dois genocidas,pt,False,False,False
cSCOHvNsYrA,TRUMP DIZ QUE IRÁ ADMINISTRAR VENEZUELA APÓS CAPTURA DE MADURO | AGORA CNN,UgzuULEXhhE3Uk1M0mB4AaABAg,"SOMENTE OS DOTADORES, TIRANOS, GENOCIDAS, DEPOTAS É QUE SEFENDEM MADURO",2026-01-05T15:44:31Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,somente os dotadores tiranos genocidas depotas e que sefendem maduro,pt,False,False,False
cSCOHvNsYrA,TRUMP DIZ QUE IRÁ ADMINISTRAR VENEZUELA APÓS CAPTURA DE MADURO | AGORA CNN,UgzPllW3yhPOTo9q8KJ4AaABAg,"MADURO, DEPOIS DE SER OUVIDO, DELANTANDO TUDO O QUE FIZERAM E QUE FOR DE INTERESSE DEVE SER EXECUTADO, ASDIM COMO FOI FEIRO COM SADAN Russin",2026-01-05T15:43:26Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,maduro depois de ser ouvido delantando tudo o que fizeram e que for de interesse deve ser executado asdim como foi feiro com sadan russin,pt,False,False,False
cSCOHvNsYrA,TRUMP DIZ QUE IRÁ ADMINISTRAR VENEZUELA APÓS CAPTURA DE MADURO | AGORA CNN,UgyrH494vp2U3ECmXvF4AaABAg,"Arrogância dos Estados unidos 
Vamo s ver o que é que vai dar",2026-01-04T22:51:41Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,arrogancia dos estados unidos vamo s ver o que e que vai dar,pt,False,False,True
cSCOHvNsYrA,TRUMP DIZ QUE IRÁ ADMINISTRAR VENEZUELA APÓS CAPTURA DE MADURO | AGORA CNN,UgxxQqZXQvNePtbrusd4AaABAg,"Maior ladrão da humanidade, Estados Unidos da América.",2026-01-04T19:56:13Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,maior ladrao da humanidade estados unidos da america,pt,False,False,True
cSCOHvNsYrA,TRUMP DIZ QUE IRÁ ADMINISTRAR VENEZUELA APÓS CAPTURA DE MADURO | AGORA CNN,UgzF7y-npRC3s9IXnu54AaABAg,"Os EUA agora estão roubando o petróleo de outros lugares,",2026-01-04T14:24:50Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,os eua agora estao roubando o petroleo de outros lugares,pt,False,False,True
cSCOHvNsYrA,TRUMP DIZ QUE IRÁ ADMINISTRAR VENEZUELA APÓS CAPTURA DE MADURO | AGORA CNN,UgyWenFKIapWxYOo85h4AaABAg,"16.""Porque Deus amou o mundo de tal maneira que deu o seu Filho unigênito, para que todo aquele que nele crê não pereça, mas tenha a vida eterna."" 
17.""Porque Deus enviou o seu Filho ao mundo, não para que condenasse o mundo, mas para que o mundo fosse salvo por ele."" 
João 3: 16-17 (ACF) 

""Porque todos pecaram e destituídos estão da glória de Deus;""
Romanos 3: 23 (ACF) 

8.""Mas Deus prova o seu amor para conosco, em que Cristo morreu por nós, sendo nós ainda pecadores."" 
9.""Logo muito mais agora, tendo sido justificados pelo seu sangue, seremos por ele salvos da ira."" 
Romanos 5: 8-9 (ACF) 

9.""A saber: Se com a tua boca confessares ao Senhor Jesus, e em teu coração creres que Deus o ressuscitou dentre os mortos, serás salvo."" 
10.""Visto que com o coração se crê para a justiça, e com a boca se faz confissão para a salvação."" 
13. ""Porque todo aquele que invocar o nome do Senhor será salvo."" 
Romanos 10: 9-10+13 (ACF) 

8."" Porque pela graça sois salvos, por meio da fé; e isto não vem de vós, é dom de Deus. ""
 9."" Não vem das obras, para que ninguém se glorie; "" 
Efésios 2: 8-9 (ACF) 

""Porque o salário do pecado é a morte, mas o dom gratuito de Deus é a vida eterna, por Cristo Jesus nosso Senhor.""
 Romanos 6: 23 (ACF) 

27.""E, como aos homens está ordenado morrerem uma vez, vindo depois disso o juízo,"" 
28.""Assim também Cristo, oferecendo-se uma vez para tirar os pecados de muitos, aparecerá segunda vez, sem pecado, aos que o esperam para salvação."" 
Hebreus 9: 27-28 (ACF) 

""Mas, quanto aos tímidos, e aos incrédulos, e aos abomináveis, e aos homicidas, e aos fornicadores, e aos feiticeiros, e aos idólatras e a todos os mentirosos, a sua parte será no lago que arde com fogo e enxofre; o que é a segunda morte.""
 Apocalipse 21: 8 (ACF) 

""Dize-lhes: Vivo eu, diz o Senhor DEUS, que não tenho prazer na morte do ímpio, mas em que o ímpio se converta do seu caminho, e viva. Convertei- vos, convertei-vos dos vossos maus caminhos; pois, por que razão morrereis"" 
de Ezequiel 33: 11 (ACF) 

Tenha um ótimo dia!",2026-01-04T13:49:44Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,porque deus amou o mundo de tal maneira que deu o seu filho unigenito para que todo aquele que nele cre nao pereca mas tenha a vida eterna porque deus enviou o seu filho ao mundo nao para que condenasse o mundo mas para que o mundo fosse salvo por ele joao acf porque todos pecaram e destituidos estao da gloria de deus romanos acf mas deus prova o seu amor para conosco em que cristo morreu por nos sendo nos ainda pecadores logo muito mais agora tendo sido justificados pelo seu sangue seremos por ele salvos da ira romanos acf a saber se com a tua boca confessares ao senhor jesus e em teu coracao creres que deus o ressuscitou dentre os mortos seras salvo visto que com o coracao se cre para a justica e com a boca se faz confissao para a salvacao porque todo aquele que invocar o nome do senhor sera salvo romanos acf porque pela graca sois salvos por meio da fe e isto nao vem de vos e dom de deus nao vem das obras para que ninguem se glorie efesios acf porque o salario do pecado e a morte mas o dom gratuito de deus e a vida eterna por cristo jesus nosso senhor romanos acf e como aos homens esta ordenado morrerem uma vez vindo depois disso o juizo assim tambem cristo oferecendose uma vez para tirar os pecados de muitos aparecera segunda vez sem pecado aos que o esperam para salvacao hebreus acf mas quanto aos timidos e aos incredulos e aos abominaveis e aos homicidas e aos fornicadores e aos feiticeiros e aos idolatras e a todos os mentirosos a sua parte sera no lago que arde com fogo e enxofre o que e a segunda morte apocalipse acf dizelhes vivo eu diz o senhor deus que nao tenho prazer na morte do impio mas em que o impio se converta do seu caminho e viva convertei vos converteivos dos vossos maus caminhos pois por que razao morrereis de ezequiel acf tenha um otimo dia,pt,False,False,False
cSCOHvNsYrA,TRUMP DIZ QUE IRÁ ADMINISTRAR VENEZUELA APÓS CAPTURA DE MADURO | AGORA CNN,Ugw8kicfSEkx0e7MhCd4AaABAg,"Todo país que estes americanos invadiram ,com conversinha de herói,se deram muito mal!! Não tem um país em que eles invadiram que ficou bem, ao contrário, foram explorados!!! Extraí suas riquezas e levam o país a mais miséria.  Inacreditável ver que as pessoas comemoram a invasão!! Venezuela mudou de raptor somente. Vão ficar na miséria mais ainda!",2026-01-04T13:41:57Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,todo pais que estes americanos invadiram com conversinha de heroise deram muito mal nao tem um pais em que eles invadiram que ficou bem ao contrario foram explorados extrai suas riquezas e levam o pais a mais miseria inacreditavel ver que as pessoas comemoram a invasao venezuela mudou de raptor somente vao ficar na miseria mais ainda,pt,True,False,True
cSCOHvNsYrA,TRUMP DIZ QUE IRÁ ADMINISTRAR VENEZUELA APÓS CAPTURA DE MADURO | AGORA CNN,Ugz_7kDsHhkSkxVoPdF4AaABAg,Amém glória Deus e smerica,2026-01-04T13:08:48Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,amem gloria deus e smerica,pt,False,False,False
