video_id,video_titulo,comentario_id,comentario,comentario_data,canal_id,canal_titulo,canal_pais,texto_limpo,idioma,associa_brasil,menciona_prisao,menciona_intervencao,posicao_prisao,posicao_intervencao
4oxf_QPOJm8,Trump publica foto de Maduro dentro de navio de guerra após captura | AGORA CNN,UgwoOeZ0gRl1SVvORfp4AaABAg,"ASSIM QUE O DONALD TRUMP, TEM QUE FAZER COM O LULADRÃO E O XANDOCA, INVADIR O BRASIL E LEVAR OS PILANTRAS OK OK",2026-01-03T20:10:08Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,assim que o donald trump tem que fazer com o luladrao e o xandoca invadir o brasil e levar os pilantras ok ok,pt,TRUE,FALSE,TRUE,APOIA_PRISAO,APOIA_INTERVENCAO_EUA
gJl5M1sxfFg,Trump faz alerta ao presidente da Colômbia após captura de Maduro | CNN Brasil,UgyWJjaVz8R67oJVL_t4AaABAg,O EUA Sempre criando as narrativas pra justificar o espoliação dos bens de outros países. Cadê as provas.,2026-01-05T16:36:38Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,o eua sempre criando as narrativas pra justificar o espoliacao dos bens de outros paises cade as provas,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICO_INTERV_EUA
UCn7s6U5SfI,A QUEDA DE MADURO PODE DESTRUIR O GOVERNO PUTIN,Ugwceo1UkpxlFM6q3EZ4AaABAg,"Por isso qe trump disse qe Rússia teria qe andar na linha,entao assim ele para a guerra na Ucrânia,sem petróleo sem guerra kkkk se loko o home é um gênio.",2026-01-07T13:13:15Z,UCpLR-q8rFLe_rEAXf4PRxRg,Daniel Lopez,BR,por isso qe trump disse qe russia teria qe andar na linhaentao assim ele para a guerra na ucraniasem petroleo sem guerra kkkk se loko o home e um genio,pt,FALSE,FALSE,TRUE,NEUTRO,APOIA_INTERVENCAO_EUA
dtDXaAQRs9E,Venezuela sob Ataque – Trump lança forte ataque contra o regime Maduro #venezuela #maduro #trump,UgxLACykLJwOIu35aG14AaABAg,"Nossa os Estados Unidos, só soltou uns traquesinhos, capturou Maduro, é já acabou a guerra, cadê as forças armadas do maduro 😂😂😂😂😂",2026-01-03T18:21:44Z,UCxDFRhF3Y1A_Gd0-cF8gbqQ,Hoje no Mundo Militar,BR,nossa os estados unidos so soltou uns traquesinhos capturou maduro e ja acabou a guerra cade as forcas armadas do maduro,pt,TRUE,FALSE,TRUE,NEUTRO,APOIA_INTERVENCAO_EUA
azNDtbaVY6Y,Nicolás Maduro chega em NY após ser capturado pelos Estados Unidos | Brasil Urgente,Ugx4Bm3LqrMuggCOib94AaABAg,"Band "" Estados unidos nao e como brasil, la mulher tambem vai presa e é julgada igualmente"" entendeu??",2026-01-04T08:43:05Z,UCG-fFAxQjZgJmn0w7Brj5xQ,Brasil Urgente,BR,band estados unidos nao e como brasil la mulher tambem vai presa e e julgada igualmente entendeu,pt,TRUE,FALSE,TRUE,APOIA_PRISAO,APOIA_INTERVENCAO_EUA
3CN3hULHX6s,Trump confirma ataque dos EUA à Venezuela e diz que Maduro foi capturado | BREAKING NEWS,UgzJOLJLBVruSN2WU494AaABAg,"Que mais ditadores sejam capturados e presos, Parabéns EUA, Até que enfím venezuela livre.",2026-01-03T23:49:36Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,que mais ditadores sejam capturados e presos parabens eua ate que enfim venezuela livre,pt,TRUE,FALSE,TRUE,APOIA_PRISAO,APOIA_INTERVENCAO_EUA
JHl5ci25B8I,Prisão de MADURO pode ser o FIM de LULA e do PT,UgwXSZRV15APZ-z5hnl4AaABAg,Eu pedindo a Deus ...que o Trump  tomar o Brasil nas mãos desse Ditador Comunista Lula  !    Que o Brasil vira Colônia dos Estados Unidos  🇱🇷🇱🇷🇱🇷🇱🇷🇱🇷🇱🇷🇱🇷🇱🇷🇱🇷🇱🇷🇱🇷🇱🇷🇱🇷,2026-01-04T10:20:39Z,UC5Bw0GoCfHk9tA_30ltCw9Q,Mundo Polarizado | Olimpio Araujo Junior,BR,eu pedindo a deus que o trump tomar o brasil nas maos desse ditador comunista lula que o brasil vira colonia dos estados unidos,pt,TRUE,FALSE,TRUE,CRITICA_PRISAO,APOIA_INTERVENCAO_EUA
UCn7s6U5SfI,A QUEDA DE MADURO PODE DESTRUIR O GOVERNO PUTIN,UgzWa64BlCMeJwcW59x4AaABAg,Nada disto. Quando presidente Trump foi negociar com Vladimir Putin foi para isto mesmo em troca do terreno na Ucrânia os EUA invadiria a Venezuela que não tem defesa nenhuma alvo fácil. Vai piorar o mercado da byd pois gasolina e diesel barato quem vai comprar byd caro.,2026-01-06T01:08:08Z,UCpLR-q8rFLe_rEAXf4PRxRg,Daniel Lopez,BR,nada disto quando presidente trump foi negociar com vladimir putin foi para isto mesmo em troca do terreno na ucrania os eua invadiria a venezuela que nao tem defesa nenhuma alvo facil vai piorar o mercado da byd pois gasolina e diesel barato quem vai comprar byd caro,pt,FALSE,FALSE,TRUE,NEUTRO,NEUTRO
XDByNex5jIU,Trump publica imagem de Maduro preso a bordo de navio dos EUA,UgxevQNMduMmTY-oI_F4AaABAg,Eu nao estou a favor dos EUA mas gostei da acção deles independentemente de qualquer razão ou motivo.,2026-01-04T16:29:49Z,UCP391YRAjSOdM_bwievgaZA,Jovem Pan News,BR,eu nao estou a favor dos eua mas gostei da accao deles independentemente de qualquer razao ou motivo,pt,FALSE,FALSE,TRUE,APOIA_PRISAO,NaN
eSTCscEeywM,"Em tribunal, Maduro diz que foi &quot;sequestrado&quot; e se declara inocente | Brasil Urgente",UgyMHo8tjRQkKc6fjr94AaABAg,Maduro vai apodrecer na cadeia nos Estados Unidos doa a quem doer.,2026-01-06T02:45:06Z,UCG-fFAxQjZgJmn0w7Brj5xQ,Brasil Urgente,BR,maduro vai apodrecer na cadeia nos estados unidos doa a quem doer,pt,FALSE,TRUE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
hxYcqTJ2qR8,TRUMP invade a Venezuela e captura MADURO!,Ugx8EUXTiNyGqdku30p4AaABAg,maduro foi preso agora as drogas nos EUA acabaram kkkkkkk só gados acreditam nisso,2026-01-06T11:51:17Z,UCOOCeqi5txwviDZ4M5W9QSg,Nando Moura,BR,maduro foi preso agora as drogas nos eua acabaram kkkkkkk so gados acreditam nisso,pt,FALSE,FALSE,TRUE,APOIA_PRISAO,APOIA_INTERVENCAO_EUA
uf2PKj-D7Ew,"Maduro e Cilia Flores chegam à DEA, agência antidrogas dos Estados Unidos, em Nova York",UgzG2BUChWDnCGBAO994AaABAg,Mal chegou nos EUA e maduro ja ganhou até as orelhinhas do Mickey.,2026-01-05T08:50:12Z,UCthbIFAxbXTTQEC7EcQvP1Q,BBC News Brasil,BR,mal chegou nos eua e maduro ja ganhou ate as orelhinhas do mickey,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
Kgd3ampurno,"🚨PETROBRAS NA MIRA, DESESPERO FAZ LULA CONVOCAR REUNIÃO DE EMERGÊNCIA, IMPACTOS DA PRISÃO DE MADURO",UgzpC4pajXvKKmEzlPR4AaABAg,"Próximo com medo de ser preso? Ai você forçou, manda o trump invadir a china pra você a terceira guerra mundial.",2026-01-07T11:07:25Z,UCxj2IbZxr2Xsm2lgpa5nIng,Josué Aragão,BR,proximo com medo de ser preso ai voce forcou manda o trump invadir a china pra voce a terceira guerra mundial,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
JZYdw3O_V0U,DIAS TERRÍVEIS PARA LULA? Eduardo Bolsonaro reage à prisão de Maduro!,UgzEUgPJqkmfoOy5RKV4AaABAg,Estas suas opiniões não serve pra nada você aqui no Brasil e zero a esquerda aliás você nem poderá dar mais opiniões pois você não e mais Brasileiro vai chupar as meias do Donald Trump pra viver aí nós Estados Unidos falta pouco pra você viver debaixo de uma ponte  oque você pediu pro Xandao,2026-01-04T17:29:01Z,UCVBHiXwksZlQtid4_DvY0ng,Conexão Vanguarda,BR,estas suas opinioes nao serve pra nada voce aqui no brasil e zero a esquerda alias voce nem podera dar mais opinioes pois voce nao e mais brasileiro vai chupar as meias do donald trump pra viver ai nos estados unidos falta pouco pra voce viver debaixo de uma ponte oque voce pediu pro xandao,pt,TRUE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
EOG_epeGBrU,"Veja momento em que Maduro desembarca em Nova York, nos EUA | #PlantãoNews",UgyWmOKbqbqqryIBLDp4AaABAg,"Ele sabe qual país invade? Ele não é bobo, não. Ele tem que invadir A. Rússia e invadir a Coreia pra tirar os 2 ditadores que tem. Por que ele não faz isso",2026-01-04T15:01:09Z,UC376n347Ob5Lwzq2WGzF1AA,SBT News,BR,ele sabe qual pais invade ele nao e bobo nao ele tem que invadir a russia e invadir a coreia pra tirar os ditadores que tem por que ele nao faz isso,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
Kgd3ampurno,"🚨PETROBRAS NA MIRA, DESESPERO FAZ LULA CONVOCAR REUNIÃO DE EMERGÊNCIA, IMPACTOS DA PRISÃO DE MADURO",UgyHL26fIJ8MJqahQg94AaABAg,"Parabéns Trump, maduro é um ditador sanguinário, fraudador de eleições não pode se criar na América do Sul,que sirva de exemplo pra quem quiser seguir os passos do maduro na América do Sul, maduro agora vai entregar toda a podridão da América do Sul pros Estados Unidos",2026-01-07T12:44:17Z,UCxj2IbZxr2Xsm2lgpa5nIng,Josué Aragão,BR,parabens trump maduro e um ditador sanguinario fraudador de eleicoes nao pode se criar na america do sulque sirva de exemplo pra quem quiser seguir os passos do maduro na america do sul maduro agora vai entregar toda a podridao da america do sul pros estados unidos,pt,FALSE,FALSE,TRUE,APOIA_PRISAO,APOIA_INTERVENCAO_EUA
Zk56rBPSm4M,"Nicolás Maduro preso: Cabrini mostra bastidores da operação dos EUA na Venezuela, resultou 80 mortos",UgxqQivMpp1eYFZhAu14AaABAg,Uma televisão que envergonha o povo brasileiro. Pelo lambe batismo dos EUA,2026-01-09T19:41:24Z,UCoRz1sARw5el7c9WhVf6mkQ,RECORD CABO VERDE,BR,uma televisao que envergonha o povo brasileiro pelo lambe batismo dos eua,pt,TRUE,FALSE,TRUE,APOIA_PRISAO,NaN
3CN3hULHX6s,Trump confirma ataque dos EUA à Venezuela e diz que Maduro foi capturado | BREAKING NEWS,UgyRVVvExnz5fhdKL654AaABAg,Só digo uma coisa: VENEZUELA É A MAIOR RESERVA DE PETRÓLEO DO MUNDO. Vcs acham que essa intervenção foi preocupação dele com o país? Kkkkkk 😂😂,2026-01-04T02:56:20Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,so digo uma coisa venezuela e a maior reserva de petroleo do mundo vcs acham que essa intervencao foi preocupacao dele com o pais kkkkkk,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
ek_QcoH1DVg,"Após ataques na Venezuela, Trump anuncia captura de Maduro | #NewsSabado",UgxdpVYp7gP5H1cZ81N4AaABAg,A questão  não sobre ditadura  e si. O oportunismo do Estados Unido ou vcs  bitolados acreditam que  ele fez uso pra salvar  o povo da ditadura o Estados Unidos só fazem coisas pra ganho próprio e esse louco que se diz presidente é o pior presidente que os Estados Unidos teve se continuar vai ter uma terceira guerra mundial olhe o que estou falando,2026-01-04T13:26:07Z,UC376n347Ob5Lwzq2WGzF1AA,SBT News,BR,a questao nao sobre ditadura e si o oportunismo do estados unido ou vcs bitolados acreditam que ele fez uso pra salvar o povo da ditadura o estados unidos so fazem coisas pra ganho proprio e esse louco que se diz presidente e o pior presidente que os estados unidos teve se continuar vai ter uma terceira guerra mundial olhe o que estou falando,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
6uA_LvrjIz4,TREZOITAO FALA SOBRE PRISÃO DE MADURO!!! #renatotrezoitao #podcast #trezoitao,Ugxf3GwXheMomZK8v1t4AaABAg,"Hoje é a Venezuela...assim que EUA acharem que pode fazer o que bem entender com o país que quiserem,todos os outros países irão correr o mesmo risco que a Venezuela de perder suas riquezas...simples assim.
Mas os tais ""patriotas"" querem se curvar aos EUA...bando de bundão vendidos.",2026-01-06T01:22:17Z,UCMrBhi0HcDd8Qzm2zxGfegg,universotrezoitao,Nao informado,hoje e a venezuelaassim que eua acharem que pode fazer o que bem entender com o pais que quiseremtodos os outros paises irao correr o mesmo risco que a venezuela de perder suas riquezassimples assim mas os tais patriotas querem se curvar aos euabando de bundao vendidos,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
