video_id,video_titulo,comentario_id,comentario,comentario_data,canal_id,canal_titulo,canal_pais,texto_limpo,idioma,associa_brasil,menciona_prisao,menciona_intervencao,posicao_prisao,posicao_intervencao,,
hxYcqTJ2qR8,TRUMP invade a Venezuela e captura MADURO!,UgwpPOqgEOjLv9wGE8B4AaABAg,"Aqui em Boa Vista-Roraima, os venezuelanos LITERALMENTE deram festa por causa da prisão do Maduro. Sem brincadeira nenhuma",2026-01-04T21:15:49Z,UCOOCeqi5txwviDZ4M5W9QSg,Nando Moura,BR,aqui em boa vistaroraima os venezuelanos literalmente deram festa por causa da prisao do maduro sem brincadeira nenhuma,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NEUTRO,,
M8wTXgJuC1o,"Rússia terá que &quot;andar na linha&quot;, diz Trump após captura de Maduro | CNN Brasil",UgxA0VmXjd8nAw3mxop4AaABAg,"Este alaranjado está interessado é no petróleo da Venezuela, e não no povo ou democracia quem acredita no contrário é ingénuo,a lei do mais forte sempre prevalece, acredito que o Maduro era um ditador ,mandava prender os opositores, dizem que era um narcotraficante,e o Trump é outro ditador que quer conquistar riqueza para os Estados Unidos através da força, mas que fique bem claro que ninguém é invencível .",2026-01-09T19:53:44Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,este alaranjado esta interessado e no petroleo da venezuela e nao no povo ou democracia quem acredita no contrario e ingenuoa lei do mais forte sempre prevalece acredito que o maduro era um ditador mandava prender os opositores dizem que era um narcotraficantee o trump e outro ditador que quer conquistar riqueza para os estados unidos atraves da forca mas que fique bem claro que ninguem e invencivel,pt,FALSE,TRUE,TRUE,APOIA_PRISAO,CRITICA_INTERVENCAO_EUA,,
GUjcTbk_DKs,Donald Trump anuncia que Nicolás Maduro foi capturado e retirado da Venezuela,Ugycmzc8E7opy35wJrB4AaABAg,"Vem no Brasil buscar o amigue dele, o Lula ladrão!",2026-01-03T20:49:00Z,UC9mdw2mmn49ZuqGOpSri7Fw,Metrópoles,BR,vem no brasil buscar o amigue dele o lula ladrao,pt,TRUE,TRUE,FALSE,NaN,NaN,,
J7T30SjJcX4,OESTE URGENTE - TRUMP ATACA A VENEZUELA E CAPTURA MADURO - 03/01/2026,Ugwio4WXOr_aQtF9NEt4AaABAg,"Excelente notícia, irá apodrecer na cadeia pelo que fez com o povo da Venezuela.",2026-01-03T18:19:23Z,UCBQAI1ZhurW3nbtJR-gBBZg,Revista Oeste,BR,excelente noticia ira apodrecer na cadeia pelo que fez com o povo da venezuela,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NEUTRO,,
f2J7uEsGuXo,Venezuelanos comemoram captura de Maduro nas ruas do Chile,Ugx00AOwQSG2qUD-oy54AaABAg,Eu não sabia que um país podia fazer isso invadir outro país e prender o presidente. Maduro é um crápula,2026-01-05T04:20:32Z,UC9mdw2mmn49ZuqGOpSri7Fw,Metrópoles,BR,eu nao sabia que um pais podia fazer isso invadir outro pais e prender o presidente maduro e um crapula,pt,FALSE,TRUE,TRUE,APOIA_PRISAO,CRITICA_INTERVENCAO_EUA,,
nuM8-Z4rApo,A queda de Maduro: e agora?!,UgwIRIWU0zus9zhjJbB4AaABAg,Não adianta nada coitados dos venezuelanos ficaram ainda muito esquerdistas tinha que prender tbm os outros que vão continuar o mesmo que maduro,2026-01-04T18:55:30Z,UCsQZuqvj2yp6DK39TooDd6Q,Rodrigo Constantino,BR,nao adianta nada coitados dos venezuelanos ficaram ainda muito esquerdistas tinha que prender tbm os outros que vao continuar o mesmo que maduro,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NEUTRO,,
HN_YedOzQ2k,"Após Prisão de Maduro, Ludmila Cria Perfil no Instagram e Diz Ter Provas Contra Lula",UgzYQZs-Tnsk_kTpvnt4AaABAg,"Com certeza 
Cadeia rubra.",2026-01-07T14:26:40Z,UC-0Iji1E4yOOwgzeh8opnKA,HFNew Atualidades,BR,com certeza cadeia rubra,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NaN,,
3BNRFrzcIWM,Maduro Acorda Com Lula  Delação e Fim do Foro de São Paulo,Ugx0TBVlDWSL5YIpSmJ4AaABAg,ESSE VAGABUNDO DAQUIR. É O MAIOR AMIGO DESSE TIRANO DO MADURO. CADEIA PRA ELE É POUCO.,2026-01-05T18:25:21Z,UC4AbzCexwIA87RYm5cDVPWg,LEOTV,Nao informado,esse vagabundo daquir e o maior amigo desse tirano do maduro cadeia pra ele e pouco,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NaN,,
JHl5ci25B8I,Prisão de MADURO pode ser o FIM de LULA e do PT,UgwSVOrk_KdsHYmUUCx4AaABAg,Tem q prender a vice e outros ainda,2026-01-04T15:55:18Z,UC5Bw0GoCfHk9tA_30ltCw9Q,Mundo Polarizado | Olimpio Araujo Junior,BR,tem q prender a vice e outros ainda,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NaN,,
3CN3hULHX6s,Trump confirma ataque dos EUA à Venezuela e diz que Maduro foi capturado | BREAKING NEWS,UgyZ5_WAzmi_RSnocBZ4AaABAg,"podiam fazer isso no Brasil , e devolver o país pros brasileiros , mais aqui iam ter que prender um monte de gente , ia lotar aquele porta-avioes deles....😏",2026-01-04T12:41:19Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,podiam fazer isso no brasil e devolver o pais pros brasileiros mais aqui iam ter que prender um monte de gente ia lotar aquele portaavioes deles,pt,TRUE,TRUE,FALSE,APOIA_PRISAO,APOIA_INTERVENCAO_EUA,,
JHl5ci25B8I,Prisão de MADURO pode ser o FIM de LULA e do PT,UgxXTL7BFqaAYiQ7rX54AaABAg,"Se um dia essa oportunista Janja fizer uma delação premiada com certeza vai lascar o Lula e toda sua turma, isso é só questão de tempo, basta só pressionar a Janja que ela solta tudo. Impeachments e prisão já.",2026-01-05T07:10:46Z,UC5Bw0GoCfHk9tA_30ltCw9Q,Mundo Polarizado | Olimpio Araujo Junior,BR,se um dia essa oportunista janja fizer uma delacao premiada com certeza vai lascar o lula e toda sua turma isso e so questao de tempo basta so pressionar a janja que ela solta tudo impeachments e prisao ja,pt,TRUE,TRUE,FALSE,APOIA_PRISAO,NaN,,
uf2PKj-D7Ew,"Maduro e Cilia Flores chegam à DEA, agência antidrogas dos Estados Unidos, em Nova York",UgxjLmDc1hn6GKBrj5B4AaABAg,Prenderam o maluco e ainda levaram a esposa pra ficar falando na cabeça dele. Isso é muita maldade 😂😂😂😂,2026-01-05T10:20:26Z,UCthbIFAxbXTTQEC7EcQvP1Q,BBC News Brasil,BR,prenderam o maluco e ainda levaram a esposa pra ficar falando na cabeca dele isso e muita maldade,pt,FALSE,TRUE,FALSE,NEUTRO,CRITICA_INTERVENCAO_EUA,,
l3Cbe2c7qwU,Trump ameaça Delcy Rodríguez e fala em “fim pior que Maduro” | #NewsDomingo,UgzVEq5oYdfQKf46-o54AaABAg,"o Lula que chamou o Trump de nazista e que é amigo do Mauro será o próximo, ele sabe tanto disso que fez uma reunião de emergência apos a prisão do Mauduro ele esta com o cool na mão, deve ter enchido o fraudão kkkkk",2026-01-06T12:38:29Z,UC376n347Ob5Lwzq2WGzF1AA,SBT News,BR,o lula que chamou o trump de nazista e que e amigo do mauro sera o proximo ele sabe tanto disso que fez uma reuniao de emergencia apos a prisao do mauduro ele esta com o cool na mao deve ter enchido o fraudao kkkkk,pt,TRUE,TRUE,FALSE,APOIA_PRISAO,NaN,,
3j7u9p9s4Qk,Prisão de MADURO pode significar o FIM para LULA e o PT,Ugz19-F9LBtn-oSvnyt4AaABAg,A CADEIA  DO  MADURO EM  NOVA  YORK  AINDA  TEM  400  VAGAS   CABE MAIS  CABE  MAIS,2026-01-04T21:28:24Z,UC5Bw0GoCfHk9tA_30ltCw9Q,Mundo Polarizado | Olimpio Araujo Junior,BR,a cadeia do maduro em nova york ainda tem vagas cabe mais cabe mais,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NaN,,
A5vwzaMTklk,Lula diz que ataques de Trump à Venezuela e prisão de Maduro são &#39;inaceitáveis&#39;,UgxEOVrH2ilfDZ0Dytx4AaABAg,Tomara que até o final desse ano essa esquerda caia aqui no Brasil e esses bandidos que tão desgraçando o país volte tudinho pra cadeia,2026-01-06T12:39:03Z,UCVFbXI6Gu8U2f9Gjtxw4A-Q,UOL,BR,tomara que ate o final desse ano essa esquerda caia aqui no brasil e esses bandidos que tao desgracando o pais volte tudinho pra cadeia,pt,TRUE,TRUE,FALSE,APOIA_PRISAO,NaN,,
rg0ACtRHeOg,Casaco do nicolas maduro nike tech ficou em alta apos a prisao…,UgzLNshHzQI9QIHF0eZ4AaABAg,"Esses canalhas ditadores são o puro sumo da hipocrisia, socialismo/ comunismo para o povo e tudo de bom e confortável de capitalismo pra eles, que ele apodreça na cadeia.",2026-01-06T23:50:48Z,UCIZ-CIhMB8xOJYOmdE1NS1w,Charles Santos,BR,esses canalhas ditadores sao o puro sumo da hipocrisia socialismo comunismo para o povo e tudo de bom e confortavel de capitalismo pra eles que ele apodreca na cadeia,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NaN,,
l3Cbe2c7qwU,Trump ameaça Delcy Rodríguez e fala em “fim pior que Maduro” | #NewsDomingo,UgwYfX8xcAIU2dbEP4F4AaABAg,Bom dia eu acho que ela deve ser também responsada pelas ações do maduro ela era vice e sabia de tudo e se calou tem que ir para cadeia ela não e diferente do maduro,2026-01-08T11:31:55Z,UC376n347Ob5Lwzq2WGzF1AA,SBT News,BR,bom dia eu acho que ela deve ser tambem responsada pelas acoes do maduro ela era vice e sabia de tudo e se calou tem que ir para cadeia ela nao e diferente do maduro,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NaN,,
